dataset,end_date,entity,entry_date,geojson,geometry,name,organisation_entity,point,prefix,reference,start_date,typology,document_url,documentation_url,legislation,notes,organisation,tree_preservation_order
tree-preservation-order,,7001000021,2021-12-27,,,,192,,tree-preservation-order,22,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000022,2021-12-27,,,,192,,tree-preservation-order,23,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000023,2021-12-27,,,,192,,tree-preservation-order,24,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000024,2021-12-27,,,,192,,tree-preservation-order,26,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000025,2021-12-27,,,,192,,tree-preservation-order,27,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000026,2021-12-27,,,,192,,tree-preservation-order,28,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000027,2021-12-27,,,,192,,tree-preservation-order,29,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000028,2021-12-27,,,,192,,tree-preservation-order,30,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000029,2021-12-27,,,,192,,tree-preservation-order,31,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000030,2021-12-27,,,,192,,tree-preservation-order,32,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000031,2021-12-27,,,,192,,tree-preservation-order,33,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000032,2021-12-27,,,,192,,tree-preservation-order,34,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000033,2021-12-27,,,,192,,tree-preservation-order,35,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000034,2021-12-27,,,,192,,tree-preservation-order,36,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000035,2021-12-27,,,,192,,tree-preservation-order,37,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000036,2021-12-27,,,,192,,tree-preservation-order,38,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000037,2021-12-27,,,,192,,tree-preservation-order,40,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000038,2021-12-27,,,,192,,tree-preservation-order,41,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000039,2021-12-27,,,,192,,tree-preservation-order,42,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000040,2021-12-27,,,,192,,tree-preservation-order,43,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000041,2021-12-27,,,,192,,tree-preservation-order,44,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000042,2021-12-27,,,,192,,tree-preservation-order,47,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000043,2021-12-27,,,,192,,tree-preservation-order,48,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000044,2021-12-27,,,,192,,tree-preservation-order,49,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000045,2021-12-27,,,,192,,tree-preservation-order,51,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000046,2021-12-27,,,,192,,tree-preservation-order,52,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000047,2021-12-27,,,,192,,tree-preservation-order,53,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000048,2021-12-27,,,,192,,tree-preservation-order,54,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000049,2021-12-27,,,,192,,tree-preservation-order,55,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000050,2021-12-27,,,,192,,tree-preservation-order,56,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000051,2021-12-27,,,,192,,tree-preservation-order,57,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000052,2021-12-27,,,,192,,tree-preservation-order,58,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000053,2021-12-27,,,,192,,tree-preservation-order,59,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000054,2021-12-27,,,,192,,tree-preservation-order,60,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000055,2021-12-27,,,,192,,tree-preservation-order,61,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000056,2021-12-27,,,,192,,tree-preservation-order,62,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000057,2021-12-27,,,,192,,tree-preservation-order,63,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000058,2021-12-27,,,,192,,tree-preservation-order,64,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000059,2021-12-27,,,,192,,tree-preservation-order,65,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000060,2021-12-27,,,,192,,tree-preservation-order,66,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000061,2021-12-27,,,,192,,tree-preservation-order,67,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000062,2021-12-27,,,,192,,tree-preservation-order,68,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000063,2021-12-27,,,,192,,tree-preservation-order,69,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000064,2021-12-27,,,,192,,tree-preservation-order,70,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000065,2021-12-27,,,,192,,tree-preservation-order,72,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000066,2021-12-27,,,,192,,tree-preservation-order,73,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000067,2021-12-27,,,,192,,tree-preservation-order,74,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000068,2021-12-27,,,,192,,tree-preservation-order,75,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000069,2021-12-27,,,,192,,tree-preservation-order,76,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000070,2021-12-27,,,,192,,tree-preservation-order,77,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000071,2021-12-27,,,,192,,tree-preservation-order,78,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000072,2021-12-27,,,,192,,tree-preservation-order,79,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000073,2021-12-27,,,,192,,tree-preservation-order,81,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000074,2021-12-27,,,,192,,tree-preservation-order,82,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000075,2021-12-27,,,,192,,tree-preservation-order,83,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000076,2021-12-27,,,,192,,tree-preservation-order,84,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000077,2021-12-27,,,,192,,tree-preservation-order,87,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000078,2021-12-27,,,,192,,tree-preservation-order,88,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000079,2021-12-27,,,,192,,tree-preservation-order,89,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000080,2021-12-27,,,,192,,tree-preservation-order,90,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000081,2021-12-27,,,,192,,tree-preservation-order,91,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000082,2021-12-27,,,,192,,tree-preservation-order,92,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000083,2021-12-27,,,,192,,tree-preservation-order,93,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000084,2021-12-27,,,,192,,tree-preservation-order,94,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000085,2021-12-27,,,,192,,tree-preservation-order,95,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000086,2021-12-27,,,,192,,tree-preservation-order,96,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000087,2021-12-27,,,,192,,tree-preservation-order,97,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000088,2021-12-27,,,,192,,tree-preservation-order,98,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000089,2021-12-27,,,,192,,tree-preservation-order,99,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000090,2021-12-27,,,,192,,tree-preservation-order,101,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000091,2021-12-27,,,,192,,tree-preservation-order,102,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000092,2021-12-27,,,,192,,tree-preservation-order,103,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000093,2021-12-27,,,,192,,tree-preservation-order,104,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000094,2021-12-27,,,,192,,tree-preservation-order,105,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000095,2021-12-27,,,,192,,tree-preservation-order,106,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000096,2021-12-27,,,,192,,tree-preservation-order,107,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000097,2021-12-27,,,,192,,tree-preservation-order,108,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000098,2021-12-27,,,,192,,tree-preservation-order,109,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000099,2021-12-27,,,,192,,tree-preservation-order,110,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000100,2021-12-27,,,,192,,tree-preservation-order,111,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000101,2021-12-27,,,,192,,tree-preservation-order,112,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000102,2021-12-27,,,,192,,tree-preservation-order,113,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000103,2021-12-27,,,,192,,tree-preservation-order,114,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000104,2021-12-27,,,,192,,tree-preservation-order,115,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000105,2021-12-27,,,,192,,tree-preservation-order,116,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000106,2021-12-27,,,,192,,tree-preservation-order,117,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000107,2021-12-27,,,,192,,tree-preservation-order,118,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000108,2021-12-27,,,,192,,tree-preservation-order,119,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000109,2021-12-27,,,,192,,tree-preservation-order,120,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000110,2021-12-27,,,,192,,tree-preservation-order,122,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000111,2021-12-27,,,,192,,tree-preservation-order,123,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000112,2021-12-27,,,,192,,tree-preservation-order,124,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000113,2021-12-27,,,,192,,tree-preservation-order,125,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000114,2021-12-27,,,,192,,tree-preservation-order,126,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000115,2021-12-27,,,,192,,tree-preservation-order,128,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000116,2021-12-27,,,,192,,tree-preservation-order,129,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000117,2021-12-27,,,,192,,tree-preservation-order,130,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000118,2021-12-27,,,,192,,tree-preservation-order,131,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000119,2021-12-27,,,,192,,tree-preservation-order,132,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000120,2021-12-27,,,,192,,tree-preservation-order,133,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000121,2021-12-27,,,,192,,tree-preservation-order,134,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000122,2021-12-27,,,,192,,tree-preservation-order,135,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000123,2021-12-27,,,,192,,tree-preservation-order,136,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000124,2021-12-27,,,,192,,tree-preservation-order,137,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000125,2021-12-27,,,,192,,tree-preservation-order,138,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000126,2021-12-27,,,,192,,tree-preservation-order,139,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000127,2021-12-27,,,,192,,tree-preservation-order,141,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000128,2021-12-27,,,,192,,tree-preservation-order,144,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000129,2021-12-27,,,,192,,tree-preservation-order,145,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000130,2021-12-27,,,,192,,tree-preservation-order,146,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000131,2021-12-27,,,,192,,tree-preservation-order,147,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000132,2021-12-27,,,,192,,tree-preservation-order,148,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000133,2021-12-27,,,,192,,tree-preservation-order,149,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000134,2021-12-27,,,,192,,tree-preservation-order,150,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000135,2021-12-27,,,,192,,tree-preservation-order,151,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000136,2021-12-27,,,,192,,tree-preservation-order,152,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000137,2021-12-27,,,,192,,tree-preservation-order,153,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000138,2021-12-27,,,,192,,tree-preservation-order,154,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000139,2021-12-27,,,,192,,tree-preservation-order,155,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000140,2021-12-27,,,,192,,tree-preservation-order,156,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000141,2021-12-27,,,,192,,tree-preservation-order,157,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000142,2021-12-27,,,,192,,tree-preservation-order,159,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000143,2021-12-27,,,,192,,tree-preservation-order,160,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000144,2021-12-27,,,,192,,tree-preservation-order,162,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000145,2021-12-27,,,,192,,tree-preservation-order,163,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000146,2021-12-27,,,,192,,tree-preservation-order,166,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000147,2021-12-27,,,,192,,tree-preservation-order,168,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000148,2021-12-27,,,,192,,tree-preservation-order,171,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000149,2021-12-27,,,,192,,tree-preservation-order,172,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000150,2021-12-27,,,,192,,tree-preservation-order,173,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000151,2021-12-27,,,,192,,tree-preservation-order,174,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000152,2021-12-27,,,,192,,tree-preservation-order,175,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000153,2021-12-27,,,,192,,tree-preservation-order,176,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000154,2021-12-27,,,,192,,tree-preservation-order,177,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000155,2021-12-27,,,,192,,tree-preservation-order,178,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000156,2021-12-27,,,,192,,tree-preservation-order,179,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000157,2021-12-27,,,,192,,tree-preservation-order,180,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000158,2021-12-27,,,,192,,tree-preservation-order,181,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000159,2021-12-27,,,,192,,tree-preservation-order,182,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000160,2021-12-27,,,,192,,tree-preservation-order,183,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000161,2021-12-27,,,,192,,tree-preservation-order,184,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000162,2021-12-27,,,,192,,tree-preservation-order,185,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000163,2021-12-27,,,,192,,tree-preservation-order,186,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000164,2021-12-27,,,,192,,tree-preservation-order,187,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000165,2021-12-27,,,,192,,tree-preservation-order,188,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000166,2021-12-27,,,,192,,tree-preservation-order,189,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000167,2021-12-27,,,,192,,tree-preservation-order,190,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000168,2021-12-27,,,,192,,tree-preservation-order,192,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000169,2021-12-27,,,,192,,tree-preservation-order,194,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000170,2021-12-27,,,,192,,tree-preservation-order,195,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000171,2021-12-27,,,,192,,tree-preservation-order,196,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000172,2021-12-27,,,,192,,tree-preservation-order,197,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000173,2021-12-27,,,,192,,tree-preservation-order,198,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000174,2021-12-27,,,,192,,tree-preservation-order,199,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000175,2021-12-27,,,,192,,tree-preservation-order,200,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000176,2021-12-27,,,,192,,tree-preservation-order,202,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000177,2021-12-27,,,,192,,tree-preservation-order,203,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000178,2021-12-27,,,,192,,tree-preservation-order,204,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000179,2021-12-27,,,,192,,tree-preservation-order,205,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000180,2021-12-27,,,,192,,tree-preservation-order,206,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000181,2021-12-27,,,,192,,tree-preservation-order,207,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000182,2021-12-27,,,,192,,tree-preservation-order,208,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000183,2021-12-27,,,,192,,tree-preservation-order,209,,legal-instrument,,,Town and Country Planning Act 1971,,,
tree-preservation-order,,7001000184,2021-12-27,,,,192,,tree-preservation-order,210,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000185,2021-12-27,,,,192,,tree-preservation-order,211,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000186,2021-12-27,,,,192,,tree-preservation-order,212,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000187,2021-12-27,,,,192,,tree-preservation-order,213,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000188,2021-12-27,,,,192,,tree-preservation-order,214,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000189,2021-12-27,,,,192,,tree-preservation-order,215,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000190,2021-12-27,,,,192,,tree-preservation-order,216,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000191,2021-12-27,,,,192,,tree-preservation-order,217,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000192,2021-12-27,,,,192,,tree-preservation-order,218,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000193,2021-12-27,,,,192,,tree-preservation-order,219,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000194,2021-12-27,,,,192,,tree-preservation-order,220,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000195,2021-12-27,,,,192,,tree-preservation-order,221,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000196,2021-12-27,,,,192,,tree-preservation-order,222,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000197,2021-12-27,,,,192,,tree-preservation-order,223,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000198,2021-12-27,,,,192,,tree-preservation-order,224,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000199,2021-12-27,,,,192,,tree-preservation-order,225,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000200,2021-12-27,,,,192,,tree-preservation-order,226,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000201,2021-12-27,,,,192,,tree-preservation-order,227,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000202,2021-12-27,,,,192,,tree-preservation-order,228,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000203,2021-12-27,,,,329,,tree-preservation-order,229,1989-08-03,legal-instrument,https://geo.southwark.gov.uk/connect/analyst/Includes/TPOs/229b.pdf,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000204,2021-12-27,,,,192,,tree-preservation-order,230,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000205,2021-12-27,,,,192,,tree-preservation-order,232,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000206,2021-12-27,,,,192,,tree-preservation-order,233,,legal-instrument,,,Town and Country Planning Act 1990,,,
tree-preservation-order,,7001000207,2021-12-27,,,,192,,tree-preservation-order,234,,legal-instrument,,,Town and Country Planning Act 1990,,,
