dataset,end_date,entity,entry_date,geojson,geometry,name,organisation_entity,point,prefix,reference,start_date,typology,document_url,documentation_url,legislation,notes,organisation,tree_preservation_order
tree-preservation-order,,7001000000,2021-12-27,,,,192,,tree-preservation-order,1,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000001,2021-12-27,,,,192,,tree-preservation-order,2,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000002,2021-12-27,,,,192,,tree-preservation-order,3,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000003,2021-12-27,,,,192,,tree-preservation-order,4,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000004,2021-12-27,,,,192,,tree-preservation-order,5,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000005,2021-12-27,,,,192,,tree-preservation-order,6,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000006,2021-12-27,,,,192,,tree-preservation-order,7,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000007,2021-12-27,,,,192,,tree-preservation-order,8,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000008,2021-12-27,,,,192,,tree-preservation-order,9,,legal-instrument,,,Planning Act 1947,,,
tree-preservation-order,,7001000009,2021-12-27,,,,192,,tree-preservation-order,10,,legal-instrument,,,Town and Country Planning Act 1962,,,
tree-preservation-order,,7001000010,2021-12-27,,,,192,,tree-preservation-order,11,,legal-instrument,,,Town and Country Planning Act 1962,,,
tree-preservation-order,,7001000011,2021-12-27,,,,192,,tree-preservation-order,12,,legal-instrument,,,Town and Country Planning Act 1962,,,
tree-preservation-order,,7001000012,2021-12-27,,,,192,,tree-preservation-order,13,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000013,2021-12-27,,,,192,,tree-preservation-order,14,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000014,2021-12-27,,,,192,,tree-preservation-order,15,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000015,2021-12-27,,,,192,,tree-preservation-order,16,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000016,2021-12-27,,,,192,,tree-preservation-order,17,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000017,2021-12-27,,,,192,,tree-preservation-order,18,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000018,2021-12-27,,,,192,,tree-preservation-order,19,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000019,2021-12-27,,,,192,,tree-preservation-order,20,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
tree-preservation-order,,7001000020,2021-12-27,,,,192,,tree-preservation-order,21,,legal-instrument,,,Town and Country Planning Acts 1962 & 1968,,,
